Type,Hazard,Concentration,LOD,LOQ,Unit
Herring,PFAS4,3.25,NA,NA,ng.p.g
Herring,PFAS4,7.80,NA,NA,ng.p.g
Herring,PFAS4,5.77,NA,NA,ng.p.g
Herring,PFAS4,6.01,NA,NA,ng.p.g
Herring,PFAS4,6.73,NA,NA,ng.p.g
Herring,PFAS4,0.53,NA,NA,ng.p.g
Herring,PFAS4,0.61,NA,NA,ng.p.g
Herring,PFAS4,2.38,NA,NA,ng.p.g
Herring,PFAS4,2.10,NA,NA,ng.p.g
Herring,PFAS4,2.52,NA,NA,ng.p.g
Herring,PFAS4,1.88,NA,NA,ng.p.g
Herring,PFAS4,1.35,NA,NA,ng.p.g
Herring,PFAS4,3.89,NA,NA,ng.p.g
Herring,PFAS4,4.29,NA,NA,ng.p.g
Herring,PFAS4,5.89,NA,NA,ng.p.g
Herring,PFAS4,1.20,NA,NA,ng.p.g
Herring,PFAS4,2.78,NA,NA,ng.p.g
Herring,PFAS4,8.56,NA,NA,ng.p.g
Herring,PFAS4,4.57,NA,NA,ng.p.g
Herring,PFAS4,6.90,NA,NA,ng.p.g
Herring,PFAS4,1.27,NA,NA,ng.p.g
Herring,PFAS4,3.96,NA,NA,ng.p.g
Herring,PFAS4,3.15,NA,NA,ng.p.g
Herring,PFAS4,3.28,NA,NA,ng.p.g
Herring,PFAS4,3.22,NA,NA,ng.p.g
Herring,PFAS4,1.30,NA,NA,ng.p.g
Herring,PFAS4,2.32,NA,NA,ng.p.g
Herring,PFAS4,2.48,NA,NA,ng.p.g
Herring,PFAS4,3.27,NA,NA,ng.p.g
Herring,PFAS4,2.28,NA,NA,ng.p.g
Salmon,PFAS4,2.58,NA,NA,ng.p.g
Salmon,PFAS4,3.24,NA,NA,ng.p.g
Salmon,PFAS4,3.73,NA,NA,ng.p.g
Salmon,PFAS4,4.35,NA,NA,ng.p.g
Salmon,PFAS4,3.20,NA,NA,ng.p.g
Salmon,PFAS4,5.41,NA,NA,ng.p.g
Salmon,PFAS4,4.05,NA,NA,ng.p.g
Salmon,PFAS4,2.86,NA,NA,ng.p.g
Herring,PFAS4,4.42,NA,NA,ng.p.g
Herring,PFAS4,15.42,NA,NA,ng.p.g
Herring,PFAS4,3.36,NA,NA,ng.p.g
Herring,PFAS4,5.01,NA,NA,ng.p.g
Herring,PFAS4,10.15,NA,NA,ng.p.g
Herring,PFAS4,8.43,NA,NA,ng.p.g
Herring,PFAS4,3.36,NA,NA,ng.p.g
Herring,PFAS4,3.89,NA,NA,ng.p.g
Herring,PFAS4,12.25,NA,NA,ng.p.g
Herring,PFAS4,8.22,NA,NA,ng.p.g
Herring,PFAS4,16.13,NA,NA,ng.p.g
Herring,PFAS4,16.85,NA,NA,ng.p.g
Herring,PFAS4,9.53,NA,NA,ng.p.g
Herring,PFAS4,1.68,NA,NA,ng.p.g
Herring,PFAS4,1.80,NA,NA,ng.p.g
Herring,PFAS4,0.72,NA,NA,ng.p.g
Salmon,PFAS4,1.80,NA,NA,ng.p.g
Salmon,PFAS4,2.80,NA,NA,ng.p.g
Herring,Hg,0.024,NA,NA,ug.p.g
Herring,Hg,0.035,NA,NA,ug.p.g
Herring,Hg,0.042,NA,NA,ug.p.g
Herring,Hg,0.035,NA,NA,ug.p.g
Herring,Hg,0.05,NA,NA,ug.p.g
Herring,Hg,0.007,NA,NA,ug.p.g
Herring,Hg,0.0089,NA,NA,ug.p.g
Herring,Hg,0.022,NA,NA,ug.p.g
Herring,Hg,0.026,NA,NA,ug.p.g
Herring,Hg,0.03,NA,NA,ug.p.g
Herring,Hg,0.017,NA,NA,ug.p.g
Herring,Hg,0.0096,NA,NA,ug.p.g
Herring,Hg,0.0089,NA,NA,ug.p.g
Herring,Hg,0.017,NA,NA,ug.p.g
Herring,Hg,0.021,NA,NA,ug.p.g
Herring,Hg,0.01,NA,NA,ug.p.g
Herring,Hg,0.012,NA,NA,ug.p.g
Herring,Hg,0.021,NA,NA,ug.p.g
Herring,Hg,0.024,NA,NA,ug.p.g
Herring,Hg,0.021,NA,NA,ug.p.g
Herring,Hg,0.011,NA,NA,ug.p.g
Herring,Hg,0.022,NA,NA,ug.p.g
Herring,Hg,0.024,NA,NA,ug.p.g
Herring,Hg,0.023,NA,NA,ug.p.g
Herring,Hg,0.029,NA,NA,ug.p.g
Herring,Hg,0.018,NA,NA,ug.p.g
Herring,Hg,0.035,NA,NA,ug.p.g
Herring,Hg,0.072,NA,NA,ug.p.g
Herring,Hg,0.043,NA,NA,ug.p.g
Herring,Hg,0.039,NA,NA,ug.p.g
Salmon,Hg,0.053,NA,NA,ug.p.g
Salmon,Hg,0.086,NA,NA,ug.p.g
Salmon,Hg,0.053,NA,NA,ug.p.g
Salmon,Hg,0.064,NA,NA,ug.p.g
Salmon,Hg,0.054,NA,NA,ug.p.g
Salmon,Hg,0.071,NA,NA,ug.p.g
Salmon,Hg,0.07,NA,NA,ug.p.g
Salmon,Hg,0.079,NA,NA,ug.p.g
Herring,Hg,0.015,NA,NA,ug.p.g
Herring,Hg,0.021,NA,NA,ug.p.g
Herring,Hg,0.023,NA,NA,ug.p.g
Herring,Hg,0.025,NA,NA,ug.p.g
Herring,Hg,0.023,NA,NA,ug.p.g
Herring,Hg,0.02,NA,NA,ug.p.g
Herring,Hg,0.027,NA,NA,ug.p.g
Herring,Hg,0.034,NA,NA,ug.p.g
Herring,Hg,0.028,NA,NA,ug.p.g
Herring,Hg,0.027,NA,NA,ug.p.g
Herring,Hg,0.026,NA,NA,ug.p.g
Herring,Hg,0.027,NA,NA,ug.p.g
Herring,Hg,0.04,NA,NA,ug.p.g
Herring,Hg,0.075,NA,NA,ug.p.g
Herring,Hg,0.085,NA,NA,ug.p.g
Herring,Hg,0.066,NA,NA,ug.p.g
Salmon,Hg,0.059,NA,NA,ug.p.g
Salmon,Hg,0.058,NA,NA,ug.p.g
